2025-11-15 11:03:31,174 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=9.35 | FAIL | No data
2025-11-15 11:03:31,175 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=10.35 | SUCCESS | 
2025-11-15 11:03:51,252 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=8.67 | FAIL | No data
2025-11-15 11:03:51,253 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=9.14 | SUCCESS | 
2025-11-15 11:06:45,679 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=6.52 | FAIL | No data
2025-11-15 11:06:45,680 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=7.54 | SUCCESS | 
2025-11-15 11:12:13,051 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=5.82 | FAIL | No data
2025-11-15 11:12:13,051 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=6.39 | SUCCESS | 
2025-11-15 11:12:33,803 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31 00:00:00'} | time_ms=2.66 | SUCCESS | 
2025-11-15 11:12:33,803 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=3.01 | SUCCESS | 
2025-11-15 11:14:13,392 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31 00:00:00'} | time_ms=3.18 | SUCCESS | 
2025-11-15 11:14:13,394 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=5.20 | SUCCESS | 
2025-11-15 11:14:26,808 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31 00:00:00'} | time_ms=2.32 | SUCCESS | 
2025-11-15 11:14:26,809 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=2.98 | SUCCESS | 
2025-11-15 11:50:06,795 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31 00:00:00'} | time_ms=3.09 | SUCCESS | 
2025-11-15 11:50:06,796 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=5.06 | SUCCESS | 
